Rodada: 1, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 102 cartas.
Rodada: 2, Jogador: 1, carta da vez: 09♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 101 cartas.
Rodada: 3, Jogador: 2, carta da vez: 12♣, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 100 cartas.
Rodada: 4, Jogador: 3, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 99 cartas.
Rodada: 5, Jogador: 3, carta da vez: 09♣, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 98 cartas.
Rodada: 6, Jogador: 4, carta da vez: 08♣, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 97 cartas.
Rodada: 7, Jogador: 5, carta da vez: 04♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 96 cartas.
Rodada: 8, Jogador: 5, carta da vez: 08♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 95 cartas.
Rodada: 9, Jogador: 6, carta da vez: 06♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 94 cartas.
Rodada: 10, Jogador: 7, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 93 cartas.
Rodada: 11, Jogador: 0, carta da vez: 01♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 92 cartas.
Rodada: 12, Jogador: 0, carta da vez: 06♥, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 91 cartas.
Rodada: 13, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 90 cartas.
Rodada: 14, Jogador: 1, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 89 cartas.
Rodada: 15, Jogador: 1, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 88 cartas.
Rodada: 16, Jogador: 1, carta da vez: 04♥, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 87 cartas.
Rodada: 17, Jogador: 2, carta da vez: 07♦, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 86 cartas.
Rodada: 18, Jogador: 2, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 85 cartas.
Rodada: 19, Jogador: 3, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 84 cartas.
Rodada: 20, Jogador: 3, carta da vez: 01♥, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 83 cartas.
Rodada: 21, Jogador: 3, carta da vez: 06♦, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 82 cartas.
Rodada: 22, Jogador: 3, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 4 cartas - ,  baralho tem 81 cartas.
Rodada: 23, Jogador: 3, carta da vez: 01♦, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 5 cartas - ,  baralho tem 80 cartas.
Rodada: 24, Jogador: 3, carta da vez: 12♥, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 6 cartas - ,  baralho tem 79 cartas.
Rodada: 25, Jogador: 3, carta da vez: 01♦, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 7 cartas - ,  baralho tem 78 cartas.
Rodada: 26, Jogador: 3, carta da vez: 04♥, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 8 cartas - ,  baralho tem 77 cartas.
Rodada: 27, Jogador: 3, carta da vez: 10♥, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 9 cartas - ,  baralho tem 76 cartas.
Rodada: 28, Jogador: 4, carta da vez: 02♠, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 3 com total de 9 cartas - ,  baralho tem 75 cartas.
