Rodada: 1, Jogador: 0, carta da vez: 33, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 18 cartas.
Rodada: 2, Jogador: 1, carta da vez: 1212, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 17 cartas.
Rodada: 3, Jogador: 0, carta da vez: 44, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 16 cartas.
Rodada: 4, Jogador: 1, carta da vez: 77, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 15 cartas.
Rodada: 5, Jogador: 0, carta da vez: 55, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 14 cartas.
Rodada: 6, Jogador: 1, carta da vez: 99, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 13 cartas.
Rodada: 7, Jogador: 1, carta da vez: 55, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 12 cartas.
Rodada: 8, Jogador: 0, carta da vez: 22, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 11 cartas.
Rodada: 9, Jogador: 1, carta da vez: 1111, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 10 cartas.
Rodada: 10, Jogador: 0, carta da vez: 66, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 9 cartas.
Rodada: 11, Jogador: 1, carta da vez: 1010, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 8 cartas.
Rodada: 12, Jogador: 1, carta da vez: 22, maiores montes Jogador: jogador 0 com total de 2 cartas - Jogador: jogador 1 com total de 2 cartas - ,  baralho tem 7 cartas.
Rodada: 13, Jogador: 0, carta da vez: 88, maiores montes Jogador: jogador 0 com total de 2 cartas - Jogador: jogador 1 com total de 2 cartas - ,  baralho tem 6 cartas.
Rodada: 14, Jogador: 0, carta da vez: 77, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 5 cartas.
Rodada: 15, Jogador: 0, carta da vez: 66, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 4 cartas.
Rodada: 16, Jogador: 1, carta da vez: 11, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 3 cartas.
Rodada: 17, Jogador: 1, carta da vez: 44, maiores montes Jogador: jogador 0 com total de 4 cartas - ,  baralho tem 2 cartas.
Rodada: 18, Jogador: 1, carta da vez: 33, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 1 com total de 4 cartas - ,  baralho tem 1 cartas.
Rodada: 19, Jogador: 0, carta da vez: 1313, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 1 com total de 4 cartas - ,  baralho tem 0 cartas.
