Rodada: 1, Jogador: 0, carta da vez: 12♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 998 cartas.
Rodada: 2, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 997 cartas.
Rodada: 3, Jogador: 1, carta da vez: 06♠, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 996 cartas.
Rodada: 4, Jogador: 1, carta da vez: 06♠, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 995 cartas.
Rodada: 5, Jogador: 0, carta da vez: 02♠, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 994 cartas.
Rodada: 6, Jogador: 1, carta da vez: 07♥, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 993 cartas.
Rodada: 7, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 992 cartas.
Rodada: 8, Jogador: 1, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 991 cartas.
Rodada: 9, Jogador: 1, carta da vez: 02♠, maiores montes Jogador: jogador 0 com total de 3 cartas - ,  baralho tem 990 cartas.
Rodada: 10, Jogador: 1, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 3 cartas - Jogador: jogador 1 com total de 3 cartas - ,  baralho tem 989 cartas.
Rodada: 11, Jogador: 1, carta da vez: 12♣, maiores montes Jogador: jogador 0 com total de 3 cartas - Jogador: jogador 1 com total de 4 cartas - ,  baralho tem 988 cartas.
Rodada: 12, Jogador: 0, carta da vez: 05♦, maiores montes Jogador: jogador 0 com total de 3 cartas - Jogador: jogador 1 com total de 4 cartas - ,  baralho tem 987 cartas.
Rodada: 13, Jogador: 0, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 4 cartas - Jogador: jogador 1 com total de 4 cartas - ,  baralho tem 986 cartas.
Rodada: 14, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 5 cartas - ,  baralho tem 985 cartas.
Rodada: 15, Jogador: 1, carta da vez: 03♥, maiores montes Jogador: jogador 0 com total de 5 cartas - ,  baralho tem 984 cartas.
Rodada: 16, Jogador: 1, carta da vez: 06♥, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 5 cartas - ,  baralho tem 983 cartas.
Rodada: 17, Jogador: 0, carta da vez: 10♥, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 5 cartas - ,  baralho tem 982 cartas.
Rodada: 18, Jogador: 1, carta da vez: 13♣, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 5 cartas - ,  baralho tem 981 cartas.
Rodada: 19, Jogador: 1, carta da vez: 07♦, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 6 cartas - ,  baralho tem 980 cartas.
Rodada: 20, Jogador: 1, carta da vez: 05♦, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 7 cartas - ,  baralho tem 979 cartas.
