Rodada: 1, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 50 cartas.
Rodada: 2, Jogador: 1, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 49 cartas.
Rodada: 3, Jogador: 1, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 48 cartas.
Rodada: 4, Jogador: 2, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 47 cartas.
Rodada: 5, Jogador: 2, carta da vez: 08♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 46 cartas.
Rodada: 6, Jogador: 3, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 45 cartas.
Rodada: 7, Jogador: 3, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 44 cartas.
Rodada: 8, Jogador: 3, carta da vez: 03♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - ,  baralho tem 43 cartas.
Rodada: 9, Jogador: 4, carta da vez: 07♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - ,  baralho tem 42 cartas.
Rodada: 10, Jogador: 5, carta da vez: 06♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - ,  baralho tem 41 cartas.
Rodada: 11, Jogador: 6, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - ,  baralho tem 40 cartas.
Rodada: 12, Jogador: 6, carta da vez: 11♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - ,  baralho tem 39 cartas.
Rodada: 13, Jogador: 6, carta da vez: 10♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 2 - ,  baralho tem 38 cartas.
Rodada: 14, Jogador: 6, carta da vez: 10♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 3 - ,  baralho tem 37 cartas.
Rodada: 15, Jogador: 6, carta da vez: 01♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 4 - ,  baralho tem 36 cartas.
Rodada: 16, Jogador: 6, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 35 cartas.
Rodada: 17, Jogador: 7, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 34 cartas.
Rodada: 18, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 33 cartas.
Rodada: 19, Jogador: 1, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 32 cartas.
Rodada: 20, Jogador: 1, carta da vez: 05♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 2 - Jogador: jogador 3 - Total de cartas: 2 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 31 cartas.
Rodada: 21, Jogador: 1, carta da vez: 06♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 30 cartas.
Rodada: 22, Jogador: 2, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 29 cartas.
Rodada: 23, Jogador: 2, carta da vez: 04♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 28 cartas.
Rodada: 24, Jogador: 2, carta da vez: 05♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 3 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 27 cartas.
Rodada: 25, Jogador: 2, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 4 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 26 cartas.
Rodada: 26, Jogador: 2, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 25 cartas.
Rodada: 27, Jogador: 3, carta da vez: 09♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 24 cartas.
Rodada: 28, Jogador: 3, carta da vez: 12♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 23 cartas.
