Rodada: 1, Jogador: 0, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 253 cartas.
Rodada: 2, Jogador: 1, carta da vez: 04♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 252 cartas.
Rodada: 3, Jogador: 2, carta da vez: 10♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 251 cartas.
Rodada: 4, Jogador: 3, carta da vez: 06♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 250 cartas.
Rodada: 5, Jogador: 3, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 249 cartas.
Rodada: 6, Jogador: 4, carta da vez: 08♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 248 cartas.
Rodada: 7, Jogador: 4, carta da vez: 10♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 247 cartas.
Rodada: 8, Jogador: 5, carta da vez: 07♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 246 cartas.
Rodada: 9, Jogador: 5, carta da vez: 11♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 245 cartas.
Rodada: 10, Jogador: 5, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 244 cartas.
Rodada: 11, Jogador: 6, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 243 cartas.
Rodada: 12, Jogador: 7, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 242 cartas.
Rodada: 13, Jogador: 7, carta da vez: 06♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 241 cartas.
Rodada: 14, Jogador: 8, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 240 cartas.
Rodada: 15, Jogador: 8, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 239 cartas.
Rodada: 16, Jogador: 9, carta da vez: 05♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 238 cartas.
Rodada: 17, Jogador: 9, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - ,  baralho tem 237 cartas.
Rodada: 18, Jogador: 9, carta da vez: 06♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - Jogador: jogador 9 - Total de cartas: 2 - ,  baralho tem 236 cartas.
Rodada: 19, Jogador: 0, carta da vez: 13♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 5 - Total de cartas: 2 - Jogador: jogador 9 - Total de cartas: 2 - ,  baralho tem 235 cartas.
Rodada: 20, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 234 cartas.
Rodada: 21, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 233 cartas.
Rodada: 22, Jogador: 1, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 232 cartas.
Rodada: 23, Jogador: 1, carta da vez: 08♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 231 cartas.
Rodada: 24, Jogador: 1, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 230 cartas.
Rodada: 25, Jogador: 1, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 229 cartas.
Rodada: 26, Jogador: 1, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 4 - ,  baralho tem 228 cartas.
Rodada: 27, Jogador: 1, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 5 - ,  baralho tem 227 cartas.
Rodada: 28, Jogador: 1, carta da vez: 12♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 6 - ,  baralho tem 226 cartas.
Rodada: 29, Jogador: 1, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 7 - ,  baralho tem 225 cartas.
Rodada: 30, Jogador: 1, carta da vez: 03♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 8 - ,  baralho tem 224 cartas.
Rodada: 31, Jogador: 1, carta da vez: 01♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 9 - ,  baralho tem 223 cartas.
Rodada: 32, Jogador: 1, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 222 cartas.
Rodada: 33, Jogador: 2, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 221 cartas.
Rodada: 34, Jogador: 2, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 220 cartas.
Rodada: 35, Jogador: 2, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 219 cartas.
Rodada: 36, Jogador: 2, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 218 cartas.
