Rodada: 1, Jogador: 0, carta da vez: 08♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 98 cartas.
Rodada: 2, Jogador: 1, carta da vez: 13♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 97 cartas.
Rodada: 3, Jogador: 2, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 96 cartas.
Rodada: 4, Jogador: 2, carta da vez: 11♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 95 cartas.
Rodada: 5, Jogador: 3, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 94 cartas.
Rodada: 6, Jogador: 0, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 93 cartas.
Rodada: 7, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 92 cartas.
Rodada: 8, Jogador: 1, carta da vez: 05♦, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 91 cartas.
Rodada: 9, Jogador: 1, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 90 cartas.
Rodada: 10, Jogador: 2, carta da vez: 10♥, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 89 cartas.
Rodada: 11, Jogador: 3, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 88 cartas.
Rodada: 12, Jogador: 0, carta da vez: 07♥, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 87 cartas.
Rodada: 13, Jogador: 0, carta da vez: 12♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 86 cartas.
Rodada: 14, Jogador: 0, carta da vez: 13♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 85 cartas.
Rodada: 15, Jogador: 1, carta da vez: 02♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 84 cartas.
Rodada: 16, Jogador: 1, carta da vez: 12♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 83 cartas.
Rodada: 17, Jogador: 2, carta da vez: 09♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 82 cartas.
Rodada: 18, Jogador: 2, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 81 cartas.
Rodada: 19, Jogador: 2, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 80 cartas.
Rodada: 20, Jogador: 2, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 79 cartas.
Rodada: 21, Jogador: 2, carta da vez: 11♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 5 - ,  baralho tem 78 cartas.
Rodada: 22, Jogador: 2, carta da vez: 02♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 6 - ,  baralho tem 77 cartas.
Rodada: 23, Jogador: 2, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 7 - ,  baralho tem 76 cartas.
Rodada: 24, Jogador: 2, carta da vez: 03♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 8 - ,  baralho tem 75 cartas.
Rodada: 25, Jogador: 2, carta da vez: 09♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 9 - ,  baralho tem 74 cartas.
Rodada: 26, Jogador: 2, carta da vez: 01♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 10 - ,  baralho tem 73 cartas.
Rodada: 27, Jogador: 2, carta da vez: 02♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 72 cartas.
Rodada: 28, Jogador: 3, carta da vez: 06♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 71 cartas.
Rodada: 29, Jogador: 3, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 70 cartas.
Rodada: 30, Jogador: 3, carta da vez: 13♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 69 cartas.
Rodada: 31, Jogador: 3, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 68 cartas.
Rodada: 32, Jogador: 3, carta da vez: 05♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 67 cartas.
Rodada: 33, Jogador: 3, carta da vez: 10♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 66 cartas.
